Brawler_name,Easy_to_counter,Has pets,Countered_by_pets,Counters_pets
Willow,Yes,No,No,Sorta
Tick,Yes,Sorta,No,No
Tara,No,Yes,No,Sorta
Surge,Sorta,No,Yes,No
Stu,Yes,No,Yes,No
Squeak,Yes,No,No,Sorta
Sprout,Yes,No,No,No
Spike,No,Sorta,No,No
Shelly,Sorta,No,Sorta,No
Sandy,No,No,No,Sorta
Sam,No,No,Sorta,No
Ruffs,No,Yes,No,No
Rosa,No,No,No,No
Rico,No,No,No,No
R-T,No,No,No,No
Poco,No,No,No,Sorta
Piper,Sorta,No,Sorta,No
Penny,No,Yes,No,Yes
Pearl,No,No,No,No
Pam,No,Yes,No,No
Otis,No,No,No,No
Nita,No,Yes,No,Sorta
Nani,No,No,No,No
Mr. P,No,Yes,No,No
Mortis,Yes,No,Sorta,No
Mico,Yes,No,No,No
Melodie,No,No,No,No
Meg,No,No,No,No
Max,No,No,No,No
Mandy,Sorta,No,No,No
Maisie,No,No,No,No
Lou,No,No,No,No
Lola,No,Sorta,No,No
Lily,No,No,No,No
Leon,No,Sorta,Sorta,No
Larry & Lawrie,Yes,Sorta,No,No
Kit,Yes,No,No,No
Jessie,No,Sorta,No,No
Janet,No,No,No,No
Jacky,No,No,No,Sorta
Hank,No,No,No,Sorta
Gus,No,No,No,No
Grom,Yes,No,No,No
Griff,No,No,No,No
Gray,No,No,Sorta,No
Gene,No,No,Sorta,No
Gale,No,No,No,No
Frank,Yes,No,No,No
Fang,No,No,Sorta,No
Eve,No,Yes,No,No
Emz,Yes,No,No,Sorta
El Primo,No,No,No,No
Edgar,Yes,No,No,No
Dynamike,Yes,No,No,No
Draco,No,No,No,No
Doug,No,No,No,No
Darryl,Yes,No,No,No
Crow,No,No,Sorta,No
Cordelius,No,No,No,No
Colt,Sorta,No,No,Sorta
Colette,No,No,No,No
Clancy,Sorta,No,No,No
Chuck,No,No,No,No
Chester,No,No,No,No
Charlie,No,Yes,No,No
Carl,Sorta,No,No,Yes
Byron,No,No,No,No
Buzz,Sorta,No,No,No
Buster,No,No,No,Sorta
Bull,Sorta,No,No,No
Brock,Sorta,No,No,No
Bonnie,No,No,Yes,No
Bo,No,No,No,No
Bibi,Sorta,No,No,No
Berry,Sorta,No,No,Sorta
Belle,No,No,No,No
Bea,No,No,Sorta,No
Barley,Yes,No,No,Sorta
Ash,No,No,No,No
Angelo,No,No,Sorta,No
Amber,No,No,No,Yes
8-Bit,No,No,No,Yes
