Brawler_name,Easy_to_counter,Has pets,Countered_by_pets,Counters_pets,Hz_sitter,Gem_carrier
Willow,Yes,No,No,Sorta,No,No
Tick,Yes,Sorta,No,No,No,No
Tara,No,Yes,No,Sorta,Sorta,No
Surge,Sorta,No,Yes,No,No,No
Stu,Yes,No,Yes,No,No,No
Squeak,Yes,No,No,Sorta,No,No
Sprout,Yes,No,No,No,No,No
Spike,No,Sorta,No,No,No,No
Shelly,Sorta,No,Sorta,No,Sorta,No
Sandy,No,No,No,Sorta,Sorta,No
Sam,No,No,Sorta,No,Sorta,No
Ruffs,No,Yes,No,No,Sorta,Sorta
Rosa,No,No,No,No,Sorta,No
Rico,No,No,No,No,No,No
R-T,No,No,No,No,Yes,Yes
Poco,No,No,No,Sorta,Yes,Sorta
Piper,Sorta,No,Sorta,No,No,No
Penny,No,Yes,No,Yes,No,Sorta
Pearl,No,No,No,No,Yes,Yes
Pam,No,Yes,No,No,Yes,Yes
Otis,No,No,No,No,Sorta,Yes
Nita,No,Yes,No,Sorta,Sorta,No
Nani,No,No,No,No,No,No
Mr. P,No,Yes,No,No,No,No
Mortis,Yes,No,Sorta,No,No,No
Mico,Yes,No,No,No,No,No
Melodie,No,No,No,No,Sorta,No
Meg,No,No,No,No,Yes,Sorta
Max,No,No,No,No,Yes,Yes
Mandy,Sorta,No,No,No,No,No
Maisie,No,No,No,No,Sorta,No
Lou,No,No,No,No,Yes,Sorta
Lola,No,Sorta,No,No,Yes,Yes
Lily,No,No,No,No,No,No
Leon,No,Sorta,Sorta,No,Sorta,No
Larry & Lawrie,Yes,Sorta,No,No,No,No
Kit,Yes,No,No,No,No,No
Jessie,No,Sorta,No,No,Sorta,Yes
Janet,No,No,No,No,Sorta,Sorta
Jacky,No,No,No,Sorta,Sorta,No
Hank,No,No,No,Sorta,Sorta,No
Gus,No,No,No,No,Sorta,Sorta
Grom,Yes,No,No,No,No,No
Griff,No,No,No,No,Yes,Sorta
Gray,No,No,Sorta,No,No,No
Gene,No,No,Sorta,No,Sorta,Yes
Gale,No,No,No,No,Sorta,No
Frank,Yes,No,No,No,Sorta,No
Fang,No,No,Sorta,No,Sorta,No
Eve,No,Yes,No,No,Sorta,Sorta
Emz,Yes,No,No,Sorta,Sorta,No
El Primo,No,No,No,No,Sorta,No
Edgar,Yes,No,No,No,No,No
Dynamike,Yes,No,No,No,No,No
Draco,No,No,No,No,Yes,No
Doug,No,No,No,No,Sorta,No
Darryl,Yes,No,No,No,Sorta,No
Crow,No,No,Sorta,No,Sorta,Sorta
Cordelius,No,No,No,No,Sorta,No
Colt,Sorta,No,No,Sorta,Sorta,No
Colette,No,No,No,No,Yes,No
Clancy,Sorta,No,No,No,Sorta,Sorta
Chuck,No,No,No,No,Sorta,No
Chester,No,No,No,No,Sorta,No
Charlie,No,Yes,No,No,Yes,Sorta
Carl,Sorta,No,No,Yes,Sorta,No
Byron,No,No,No,No,Sorta,Sorta
Buzz,Sorta,No,No,No,Sorta,No
Buster,No,No,No,Sorta,Sorta,No
Bull,Sorta,No,No,No,Sorta,No
Brock,Sorta,No,No,No,No,Sorta
Bonnie,No,No,Yes,No,Sorta,No
Bo,No,No,No,No,Yes,Yes
Bibi,Sorta,No,No,No,Sorta,No
Berry,Sorta,No,No,Sorta,No,No
Belle,No,No,No,No,Sorta,Sorta
Bea,No,No,Sorta,No,Sorta,Sorta
Barley,Yes,No,No,Sorta,No,No
Ash,No,No,No,No,Sorta,No
Angelo,No,No,Sorta,No,Sorta,No
Amber,No,No,No,Yes,Yes,Yes
8-Bit,No,No,No,Yes,Sorta,Yes
